RegionCode,RegionName,CountryCode,CountryName,Year,SuicideCount,DeathRatePer100K
AS,Asia,GEO,Georgia,2011,1,64061499
AS,Asia,GEO,Georgia,2011,3,17281106
AS,Asia,GEO,Georgia,2011,2,11627907
AS,Asia,GEO,Georgia,2011,2,137174211
AS,Asia,GEO,Georgia,2011,1,81833061
AS,Asia,GEO,Georgia,2011,0,0
AS,Asia,GEO,Georgia,2011,1,80645161
AS,Asia,GEO,Georgia,2011,0,0
AS,Asia,GEO,Georgia,2011,1,163666121
AS,Asia,GEO,Georgia,2011,0,0
AS,Asia,GEO,Georgia,2015,0,0
AS,Asia,GEO,Georgia,2015,0,0
AS,Asia,GEO,Georgia,2015,0,0
AS,Asia,GEO,Georgia,2015,1,91268773
AS,Asia,GEO,Georgia,2015,6,506124102
AS,Asia,GEO,Georgia,2015,11,847598023
AS,Asia,GEO,Georgia,2015,0,0
AS,Asia,GEO,Georgia,2015,0,0
AS,Asia,GEO,Georgia,2015,0,0
AS,Asia,GEO,Georgia,2015,0,0
AS,Asia,GEO,Georgia,2015,2,189351801
AS,Asia,GEO,Georgia,2015,0,0
AS,Asia,GEO,Georgia,2015,3,216464273
AS,Asia,GEO,Georgia,2015,3,224246252
AS,Asia,GEO,Georgia,2015,1,78871195
AS,Asia,GEO,Georgia,2015,4,322048227
AS,Asia,GEO,Georgia,2015,1,80736967
AS,Asia,GEO,Georgia,2015,4,282791434
AS,Asia,GEO,Georgia,2015,2,147122108
AS,Asia,GEO,Georgia,2015,3,249668149
AS,Asia,GEO,Georgia,2015,3,309544814
AS,Asia,GEO,Georgia,2015,5,730668342
AS,Asia,GEO,Georgia,2015,8,907739615
AS,Asia,GEO,Georgia,2015,6,1287235983
AS,Asia,GEO,Georgia,2015,6,1868285848
AS,Asia,GEO,Georgia,2015,5,3996802558
AS,Asia,GEO,Georgia,2015,9,357454921
AS,Asia,GEO,Georgia,2015,13,2566963184
AS,Asia,GEO,Georgia,2015,7,1585342377
AS,Asia,GEO,Georgia,2015,10,1444877908
AS,Asia,GEO,Georgia,2015,8,856480614
AS,Asia,GEO,Georgia,2015,9,788363751
AS,Asia,GEO,Georgia,2015,16,1284975425
AS,Asia,GEO,Georgia,2015,9,789868619
AS,Asia,GEO,Georgia,2015,12,1013256776
AS,Asia,GEO,Georgia,2015,9,737236592
AS,Asia,GEO,Georgia,2015,13,986432756
AS,Asia,GEO,Georgia,2015,6,431811557
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,1,74850299
AS,Asia,GEO,Georgia,2010,6,363636364
AS,Asia,GEO,Georgia,2010,5,26795284
AS,Asia,GEO,Georgia,2010,5,281848929
AS,Asia,GEO,Georgia,2010,11,688360451
AS,Asia,GEO,Georgia,2010,6,395778364
AS,Asia,GEO,Georgia,2010,8,566171267
AS,Asia,GEO,Georgia,2010,8,525969757
AS,Asia,GEO,Georgia,2010,7,480109739
AS,Asia,GEO,Georgia,2010,7,586756077
AS,Asia,GEO,Georgia,2010,6,629590766
AS,Asia,GEO,Georgia,2010,6,1111111111
AS,Asia,GEO,Georgia,2010,13,1587301587
AS,Asia,GEO,Georgia,2010,3,609756098
AS,Asia,GEO,Georgia,2010,3,867052023
AS,Asia,GEO,Georgia,2010,1,763358779
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,2,126023945
AS,Asia,GEO,Georgia,2010,2,128617363
AS,Asia,GEO,Georgia,2010,0,0
AS,Asia,GEO,Georgia,2010,1,59031877
AS,Asia,GEO,Georgia,2010,2,139664804
AS,Asia,GEO,Georgia,2010,1,84033613
AS,Asia,GEO,Georgia,2010,1,128205128
AS,Asia,GEO,Georgia,2010,2,160128102
AS,Asia,GEO,Georgia,2010,3,387096774
AS,Asia,GEO,Georgia,2010,1,159489633
AS,Asia,GEO,Georgia,2010,1,245700246
AS,Asia,GEO,Georgia,2009,0,0
AS,Asia,GEO,Georgia,2009,0,0
AS,Asia,GEO,Georgia,2009,0,0
AS,Asia,GEO,Georgia,2009,0,0
AS,Asia,GEO,Georgia,2009,0,0
AS,Asia,GEO,Georgia,2009,1,76952674
AS,Asia,GEO,Georgia,2009,2,116959064
AS,Asia,GEO,Georgia,2009,2,111731844
AS,Asia,GEO,Georgia,2009,1,59382423
AS,Asia,GEO,Georgia,2009,1,62480475
AS,Asia,GEO,Georgia,2009,0,0
AS,Asia,GEO,Georgia,2009,3,191754554
AS,Asia,GEO,Georgia,2009,2,110987791
AS,Asia,GEO,Georgia,2009,2,125039075
AS,Asia,GEO,Georgia,2009,7,501073729
AS,Asia,GEO,Georgia,2009,0,0
